water,water--adjust,uv,UV adjust,area,fertilizer_usage,Fret_use_norm,yield,pesticides,Pest_norm,region,categories, Y_area , Y_area_norm,ADDED Cost Values,ADDED Cost Values_norm,Profit ratio,Dummy PR
4.738,4.738,83.457,83.457,12.809,3,0.6,143.218,3.286,0.3437697,4,b,11.18104458,76%,1.248798225,47%,30%,3
5.1,5.1,59.366,59.366,8.267,0,0,64.58,2.889,0.302059256,1,"c,a",7.811781783,50%,0.631102642,21%,30%,3
9.13,9.13,59.391,59.391,3.804,4,0.8,50.729,2.373,0.247846186,1,"a,b",13.33569926,93%,1.644237323,63%,30%,3
,3,69.114,69.114,12.717,4,0.8,137.596,1.9,0.198150872,2,"c,a,b",10.81984745,74%,1.187881534,44%,29%,3
8.911,8.911,60.226,60.226,5.914,3,0.6,79.952,4.828,0.505778525,2,c,13.5191072,94%,1.687641335,65%,29%,3
,2,84.523,84.523,7.622,1,0.2,63.585,3.969,0.415528472,3,"b,d",8.342298609,54%,0.738919742,25%,29%,3
5.141,5.141,75.315,75.315,5.833,1,0.2,50.17,2.458,0.256776634,0,c,8.601062918,56%,0.788539935,27%,29%,3
9.857,9.857,64.774,64.774,7.718,4,0.8,109.848,3.6,0.376759823,0,d,14.23270277,100%,1.821379699,71%,29%,3
5.388,5.388,65.295,65.295,9.089,5,1,124.617,3.622,0.379071233,4,"c,d,b,a",13.71074926,96%,1.727220364,67%,29%,3
1.713,1.713,65.983,65.983,11.689,0,0,88.559,4.839,0.50693423,4,"c,b,d,a",7.576268286,48%,0.611286094,20%,29%,3
,4,55.074,55.074,10.41,4,0.8,119.564,2.638,0.27568817,3,"c,a,b",11.48549472,79%,1.331758224,50%,29%,3
9.18,9.18,,100,4.986,2,0.4,52.428,1.503,0.156440429,1,a,10.51504212,71%,1.156148535,43%,28%,3
9.827,9.827,63.155,63.155,6.066,1,0.2,71.577,5.25,0.55011557,0,a,11.79970326,81%,1.392745264,53%,28%,3
8.758,8.758,,80,3.586,3,0.6,39.678,0.842,0.086993066,1,a,11.06469604,75%,1.258705949,47%,28%,3
11.319,11.319,,70,7.53,2,0.4,97.228,4.361,0.456713595,2,c,12.91208499,90%,1.598321662,61%,28%,3
7.643,7.643,67.181,67.181,3.993,2,0.4,45.206,3.919,0.410275268,2,"d,b",11.3213123,77%,1.308019729,49%,28%,3
8.97,8.97,60.699,60.699,4.736,1,0.2,41.57,0.593,0.060832108,1,a,8.777449324,58%,0.846608942,30%,28%,3
8.941,8.941,65.217,65.217,3.326,3,0.6,44.237,4.75,0.497583526,0,d,13.30036079,93%,1.681436518,65%,28%,3
2.245,2.245,54.644,54.644,9.58,0,0,64.776,3.279,0.343034251,2,c,6.761586639,42%,0.482678672,14%,28%,3
5.462,5.462,64.138,64.138,8.232,4,0.8,97.993,2.618,0.273586888,2,"d,c,a",11.90391156,82%,1.426645134,54%,28%,3
3.57,3.57,74.09,74.09,6.572,0,0,49.189,3.732,0.390628283,2,c,7.484631771,48%,0.618172399,20%,28%,3
11.845,11.845,67.533,67.533,4.814,2,0.4,60.183,3.496,0.365833158,3,d,12.50166182,87%,1.542335745,59%,27%,3
3.398,3.398,77.448,77.448,9.679,0,0,64.774,2.576,0.269174196,2,d,6.692220271,42%,0.485307936,14%,27%,3
5.34,5.34,66.956,66.956,9.973,2,0.4,99.643,3.302,0.345450725,4,c,9.991276446,67%,1.090415565,40%,27%,3
4.179,4.179,95.403,95.403,10.354,1,0.2,92.065,4.045,0.423513343,4,"b,c",8.891732664,59%,0.891458149,32%,27%,3
,6,61.039,61.039,6.806,2,0.4,78.449,5.616,0.588569027,2,d,11.52644725,79%,1.377317866,52%,27%,3
12.55,12.55,63.518,63.518,3.845,1,0.2,45.793,4.065,0.425614625,3,a,11.90975293,82%,1.448886484,55%,27%,3
6.497,6.497,70.258,70.258,8.89,5,1,123.868,3.822,0.400084051,4,"a,b",13.93340832,98%,1.821803568,71%,27%,3
5.988,5.988,72.768,72.768,4.478,2,0.4,46.661,3.724,0.389787771,3,"b,d,a",10.4200536,70%,1.177740537,44%,27%,3
11.29,11.29,,70,7.047,4,0.8,99.586,3.069,0.320970792,3,a,14.13168724,99%,1.860655017,73%,27%,3
1.85,1.85,65.964,65.964,6.976,3,0.6,57.012,0.552,0.05652448,4,"d,c",8.172591743,53%,0.769964841,26%,27%,3
1.339,1.339,79.693,79.693,11.448,3,0.6,106.153,2.879,0.301008615,1,d,9.272624039,62%,0.980549547,35%,26%,3
5.312,5.312,65.494,65.494,5.537,3,0.6,62.844,4.028,0.421727254,1,a,11.34982843,78%,1.364834591,52%,26%,3
1.964,1.964,67.294,67.294,10.096,2,0.4,84.766,2.924,0.305736499,4,b,8.395998415,55%,0.826739551,29%,26%,3
3.983,3.983,77.509,77.509,4.69,3,0.6,45.96,2.203,0.229985291,2,"c,b",9.799573561,66%,1.084927576,40%,26%,3
9.838,9.838,64.719,64.719,6.553,4,0.8,84.289,1.949,0.203299012,1,d,12.86265832,89%,1.646658439,64%,26%,3
2.474,2.474,89.715,89.715,11.206,0,0,77.394,3.892,0.407438538,4,"d,c,b,a",6.906478672,43%,0.562274679,18%,26%,3
6.585,6.585,83.134,83.134,4.805,3,0.6,57.542,4.434,0.464383274,4,"d,a",11.97544225,82%,1.491940657,57%,26%,3
11.154,11.154,65.098,65.098,2.415,4,0.8,34.045,3.379,0.35354066,3,d,14.09730849,99%,1.884202727,74%,25%,3
1.531,1.531,86.133,86.133,6.276,1,0.2,45.651,3.269,0.34198361,2,"b,c",7.273900574,46%,0.634261705,21%,25%,3
9.346,9.346,64.719,64.719,2.797,2,0.4,28.066,1.256,0.130489599,0,d,10.03432249,67%,1.141210044,42%,25%,3
4.216,4.216,72.42,72.42,10.412,0,0,75.061,3.372,0.352805211,2,"c,b,a",7.20908567,46%,0.623204574,20%,25%,3
2.447,2.447,,80,8.039,0,0,46.293,1.964,0.204874974,1,c,5.758552059,34%,0.357919952,9%,25%,3
3.167,3.167,76.784,76.784,8.091,1,0.2,60.83,2.683,0.280416054,2,"d,b,c",7.518230132,48%,0.681225394,23%,25%,3
2.49,2.49,83.507,83.507,10.451,1,0.2,80.411,3.474,0.363521748,2,"c,b,a",7.694096259,49%,0.71941932,24%,25%,3
4.444,4.444,64.701,64.701,4.687,3,0.6,51.513,4.196,0.439378021,3,"a,d,b",10.99061233,75%,1.324902765,50%,25%,3
4.871,4.871,65.021,65.021,7.123,4,0.8,85.681,3.873,0.40544232,1,"b,a,c,d",12.02878001,83%,1.519293985,58%,25%,3
2.392,2.392,75.588,75.588,10.831,1,0.2,86.776,4.145,0.434019752,2,b,8.01181793,52%,0.783416064,27%,25%,3
8.71,8.71,63.37,63.37,5.281,2,0.4,51.147,1.189,0.123450305,2,d,9.685097519,65%,1.091978897,40%,25%,3
4.74,4.74,76.784,76.784,3.302,1,0.2,27.918,3.456,0.361630595,2,"a,c",8.454875833,55%,0.866791799,31%,25%,3
3.442,3.442,71.694,71.694,6.563,3,0.6,61.703,2.133,0.222630805,2,"c,a,b,d",9.401645589,63%,1.041683478,38%,25%,3
1.287,1.287,75.498,75.498,10.322,3,0.6,108.961,5.515,0.577957554,1,"d,b,c,a",10.55619066,71%,1.254048837,47%,25%,3
6.372,6.372,74.139,74.139,8.144,4,0.8,97.364,2.854,0.298382013,1,"a,c,b",11.95530452,82%,1.511809106,58%,25%,3
6.891,6.891,67.972,67.972,7.925,4,0.8,99.159,3.535,0.369930658,4,"d,b,c,a",12.51217666,87%,1.617787895,62%,24%,3
1.836,1.836,88.44,88.44,8.894,3,0.6,94.181,5.287,0.554002942,1,"d,b",10.58927367,72%,1.266514551,47%,24%,3
3.429,3.429,70.942,70.942,9.029,0,0,61.571,3.414,0.357217903,2,c,6.819249086,43%,0.575408164,18%,24%,3
0.312,0.312,67.7,67.7,5.726,1,0.2,33.178,1.738,0.18113049,3,c,5.794271743,35%,0.392540865,10%,24%,3
2.53,2.53,70.783,70.783,7.308,2,0.4,64.891,3.849,0.402920782,2,"b,d,a",8.879447181,58%,0.961471929,35%,24%,3
6.92,6.92,72.802,72.802,12.447,0,0,110.495,4.928,0.516284934,4,"c,b,a",8.877239495,58%,0.966066014,35%,24%,3
2.778,2.778,71.524,71.524,10.4,0,0,69.606,3.747,0.392204245,3,"c,b,a",6.692884615,42%,0.567207562,18%,24%,3
9.45,9.45,63.739,63.739,5.573,3,0.6,58.821,0.57,0.058415634,4,"d,c",10.55463844,71%,1.276035376,48%,24%,3
0.237,0.237,82.551,82.551,7.609,1,0.2,38.776,0.675,0.069447363,3,"c,b",5.096070443,29%,0.275882284,6%,24%,3
1.928,1.928,65.215,65.215,7.946,0,0,43.056,2.125,0.221790292,3,"b,c,a",5.418575384,32%,0.340405126,8%,23%,3
7.514,7.514,99.142,99.142,10.335,4,0.8,129.108,3.345,0.349968481,1,"b,d",12.49230769,87%,1.63915516,63%,23%,3
1.373,1.373,78.225,78.225,7.378,3,0.6,76.608,5.459,0.572073965,2,b,10.38330171,70%,1.253870436,47%,23%,3
11.267,11.267,59.765,59.765,4.282,3,0.6,52.869,2.65,0.276948939,2,"d,c",12.34680056,85%,1.615107357,62%,23%,3
2.562,2.562,71.158,71.158,8.002,0,0,51.531,3.577,0.374343349,4,c,6.439765059,40%,0.535017358,17%,23%,3
9.857,9.857,61.683,61.683,5.24,1,0.2,57.811,5.09,0.533305316,1,a,11.03263359,75%,1.377925192,52%,23%,3
4.294,4.294,72.557,72.557,5.716,3,0.6,54.932,2.313,0.241542341,2,"b,c,a,d",9.610216935,64%,1.117116177,41%,23%,3
1.26,1.26,66.09,66.09,8.717,2,0.4,64.509,2.279,0.237970162,5,"d,b",7.400367099,47%,0.712270281,24%,23%,3
1.474,1.474,54.196,54.196,5.473,3,0.6,48.216,2.722,0.284513553,1,"b,c,a,d",8.809793532,58%,0.973010303,35%,23%,3
6.667,6.667,63.774,63.774,10.14,2,0.4,95.717,2.448,0.255725993,1,"a,d,b",9.439546351,63%,1.088723207,40%,23%,3
6.731,6.731,93.95,93.95,5.869,3,0.6,64.845,3.329,0.348287455,1,d,11.04873062,75%,1.38553039,52%,23%,3
0.76,0.76,57.93,57.93,6.313,0,0,40.826,4.822,0.50514814,2,"b,c,a,d",6.466972913,40%,0.546278564,17%,23%,3
9.887,9.887,60.344,60.344,6.006,3,0.6,63.444,0.507,0.051796596,2,"a,b",10.56343656,72%,1.298406653,49%,23%,3
,2,69.941,69.941,5.173,3,0.6,54.453,5.458,0.571968901,2,"b,d,c,a",10.52638701,71%,1.295360171,49%,23%,3
2.853,2.853,95.767,95.767,6.612,0,0,40.011,2.835,0.296385795,2,"c,a",6.051270417,37%,0.476364567,14%,23%,3
7.514,7.514,76.65,76.65,5.88,4,0.8,75.178,4.04,0.422988023,1,d,12.78537415,89%,1.712174702,66%,22%,3
4.93,4.93,79.754,79.754,6.951,1,0.2,59.147,3.996,0.418365203,2,"a,c,b,d",8.509135376,56%,0.936130892,33%,22%,3
3.43,3.43,75.704,75.704,10.79,0,0,78.623,4.722,0.494641731,2,c,7.28665431,46%,0.712898332,24%,22%,3
5.513,5.513,65.351,65.351,9.49,0,0,64.422,2.543,0.265707081,2,"b,c",6.788408851,42%,0.622148636,20%,22%,3
5.457,5.457,70.622,70.622,8.163,3,0.6,89.809,4.224,0.442319815,2,c,11.00196006,75%,1.395046364,53%,22%,3
6.78,6.78,79.158,79.158,7.628,4,0.8,96.624,4.41,0.461861736,0,"d,b",12.66701626,88%,1.702355301,66%,22%,3
3.929,3.929,65.443,65.443,8.945,4,0.8,92.784,2.208,0.230510611,4,"d,b,a",10.37272219,70%,1.281870569,48%,22%,3
1.66,1.66,64.12,64.12,4.252,2,0.4,33.606,3.144,0.328850599,6,a,7.903574788,51%,0.829686475,29%,22%,3
6.66,6.66,91.051,91.051,5.165,2,0.4,54.193,4.513,0.472683337,2,"d,b,a,c",10.49235237,71%,1.305216175,49%,22%,3
5.89,5.89,58.062,58.062,10.496,0,0,74.895,2.957,0.309203614,1,"c,d",7.135575457,45%,0.69065512,23%,22%,3
4.755,4.755,66.137,66.137,7.264,5,1,90.85,3.545,0.370981299,3,c,12.50688326,87%,1.677137594,65%,22%,3
5.475,5.475,73.842,73.842,8.726,3,0.6,92.738,3.641,0.381067451,2,"a,b,c",10.62777905,72%,1.334988109,50%,22%,3
5.752,5.752,76.791,76.791,2.391,3,0.6,26.004,3.963,0.414898088,2,"c,d,a",10.87578419,74%,1.387194758,53%,21%,3
3.819,3.819,66.138,66.138,6.259,0,0,32.389,0.948,0.098129859,0,"d,b,c",5.174788305,30%,0.342192484,8%,21%,3
5.79,5.79,68.354,68.354,9.327,0,0,73.35,4.406,0.461441479,3,"c,b",7.864265037,51%,0.836259046,29%,21%,3
1.361,1.361,62.63,62.63,5.656,3,0.6,42.423,0.903,0.093401975,6,a,7.50053041,48%,0.774402373,27%,21%,3
5.264,5.264,78.729,78.729,5.98,0,0,41.611,3.213,0.336100021,2,c,6.958361204,44%,0.676023067,22%,21%,3
1.15,1.15,,80,15.487,3,0.6,125.578,2.111,0.220319395,4,b,8.108607219,53%,0.887322181,31%,21%,3
4.41,4.41,71.244,71.244,6.388,1,0.2,51.494,3.778,0.395461231,1,b,8.061051972,52%,0.878730437,31%,21%,3
3.516,3.516,83.826,83.826,8.897,4,0.8,90.445,2.311,0.241332213,2,"b,a,c",10.16578622,68%,1.265294001,47%,21%,3
6.525,6.525,95.81,95.81,7.96,4,0.8,92.918,3.043,0.318239126,1,"a,b,c",11.67311558,80%,1.541816146,59%,21%,3
6.15,6.15,64.557,64.557,7.052,3,0.6,80.942,4.844,0.50745955,0,"a,c,d,b",11.47787862,79%,1.506159298,58%,21%,3
6.3,6.3,78.443,78.443,11.465,4,0.8,139.425,4.047,0.423723471,2,"c,b",12.16092455,84%,1.632374128,63%,21%,3
6.263,6.263,94.207,94.207,7.121,5,1,85.985,2.03,0.211809204,3,d,12.07484904,83%,1.618005303,62%,21%,3
2.76,2.76,67.572,67.572,12.161,3,0.6,113.477,3.272,0.342298802,4,c,9.331222761,62%,1.11610801,41%,21%,3
2.756,2.756,70.307,70.307,6.495,2,0.4,56.732,4.137,0.433179239,1,"b,a,c",8.734719015,57%,1.00672309,36%,21%,3
4.217,4.217,64.047,64.047,6.504,1,0.2,41.139,0.913,0.094452616,0,"b,c,a,d",6.325184502,39%,0.564918319,18%,21%,3
7.83,7.83,84.647,84.647,2.155,4,0.8,27.507,4.163,0.435910906,2,"a,c,b",12.76426914,89%,1.746060833,68%,21%,3
8.26,8.26,70.157,70.157,9.271,4,0.8,118.92,4.007,0.419520908,3,"d,b,c,a",12.82709524,89%,1.758196773,68%,21%,3
3.958,3.958,89.84,89.84,6.59,1,0.2,52.247,3.904,0.408699307,4,c,7.928224583,51%,0.861983106,30%,21%,3
7.6,7.6,73.851,73.851,6.85,4,0.8,82.601,3.106,0.324858163,1,"a,c,b,d",12.05854015,83%,1.61975003,62%,21%,3
2.83,2.83,80.21,80.21,4.983,4,0.8,46.165,1.241,0.128913637,1,"b,a,d,c",9.264499298,61%,1.107366603,41%,21%,3
2.669,2.669,94.873,94.873,10.003,2,0.4,79.743,2.9,0.303214961,1,"c,a,d",7.971908427,51%,0.870987284,31%,21%,3
7.598,7.598,71.507,71.507,6.905,2,0.4,70.029,3.585,0.375183862,2,"d,a",10.14178132,68%,1.26994305,48%,21%,3
3.14,3.14,64.944,64.944,7.614,2,0.4,59.673,2.381,0.248686699,1,"d,a,c",7.837273444,50%,0.847704876,30%,21%,3
7.97,7.97,79.215,79.215,10.916,3,0.6,116.891,2.447,0.255620929,2,"d,b",10.70822646,73%,1.375058371,52%,21%,3
,2,,90,8.333,0,0,33.778,0.317,0.031834419,2,"d,a",4.053522141,21%,0.155225689,0%,21%,3
4.58,4.58,81.187,81.187,12.782,0,0,71.319,1.365,0.141941584,4,b,5.579643248,33%,0.436488486,12%,21%,3
3.316,3.316,75.49,75.49,5.501,1,0.2,43.152,4.22,0.441899559,3,c,7.844391929,50%,0.852593469,30%,21%,3
5.265,5.265,78.051,78.051,8.313,1,0.2,68.985,3.782,0.395881488,1,"b,c,a,d",8.298448214,54%,0.935870873,33%,21%,3
4.51,4.51,85.12,85.12,6.283,0,0,35.52,1.57,0.163479723,2,"b,c,d",5.65335031,33%,0.453382867,13%,20%,3
3.757,3.757,73.536,73.536,4.738,3,0.6,42.323,2.068,0.215801639,2,"c,a,b",8.932672014,59%,1.055751221,39%,20%,3
3.463,3.463,66.538,66.538,7.595,3,0.6,73.179,3.493,0.365517966,2,"c,a,b",9.635154707,64%,1.185963767,44%,20%,3
1.692,1.692,66.474,66.474,7.459,2,0.4,51.772,1.872,0.195209078,6,c,6.940876793,43%,0.698167814,23%,20%,3
6.483,6.483,67.668,67.668,6.889,0,0,51.024,3.469,0.362996428,1,"a,c,b,d",7.406590216,47%,0.783787193,27%,20%,3
3.472,3.472,,80,5.474,1,0.2,43.149,4.316,0.451985711,0,"a,d",7.882535623,51%,0.873028567,31%,20%,2
6.164,6.164,74.182,74.182,5.275,5,1,60.419,1.264,0.131330111,2,"c,a",11.45383886,78%,1.530958611,59%,20%,2
3.221,3.221,62.36,62.36,9.601,3,0.6,90.212,3.347,0.350178609,1,"c,b",9.396104572,62%,1.154570277,43%,20%,2
7.622,7.622,73.944,73.944,8.813,2,0.4,81.939,2.3,0.240176508,1,"d,a,b",9.297515035,62%,1.136527841,42%,20%,2
,6,82.678,82.678,9.107,2,0.4,68.502,0.239,0.02363942,0,"d,b",7.521906226,48%,0.812388259,28%,20%,2
3.622,3.622,77.011,77.011,10.513,0,0,74.108,4.727,0.495167052,2,c,7.049177209,44%,0.726160816,25%,20%,2
7.975,7.975,61.577,61.577,8.087,3,0.6,86.589,2.658,0.277789452,2,a,10.70718437,73%,1.39755859,53%,20%,2
6.71,6.71,66.803,66.803,8.3,1,0.2,64.009,2.043,0.213175037,1,"b,d,a",7.711927711,49%,0.849024844,30%,20%,2
9.645,9.645,81.796,81.796,10.121,2,0.4,111.371,4.055,0.424563984,1,"d,a",11.00395218,75%,1.455119908,55%,20%,2
2.112,2.112,68.282,68.282,6.68,2,0.4,47.695,2.09,0.218113049,2,"c,b",7.13997006,45%,0.748934331,26%,19%,2
5.613,5.613,67.685,67.685,1.497,3,0.6,15.607,3.712,0.388527001,2,"c,b,d",10.4255177,70%,1.351602496,51%,19%,2
9.829,9.829,65.252,65.252,5.401,2,0.4,64.018,5.467,0.572914478,2,a,11.85299019,82%,1.61567685,62%,19%,2
1.54,1.54,62.264,62.264,7.925,0,0,44.112,3.564,0.372977516,2,"b,d,a,c",5.566182965,33%,0.465852666,14%,19%,2
8.86,8.86,67.353,67.353,7.458,3,0.6,86.398,3.746,0.392099181,3,"b,c,a",11.58460713,79%,1.570578682,60%,19%,2
2.961,2.961,79.698,79.698,10.628,1,0.2,73.44,3.126,0.326959445,1,"c,a",6.910048927,43%,0.714102871,24%,19%,2
0.537,0.537,72.863,72.863,10.349,1,0.2,48.787,0.824,0.085101912,1,"c,d,a",4.714175283,26%,0.311438651,7%,19%,2
3.91,3.91,75.747,75.747,5.6,1,0.2,43.3,3.969,0.415528472,1,"b,d,c,a",7.732142857,50%,0.865627981,30%,19%,2
5.155,5.155,89.933,89.933,9.35,0,0,64.134,3.564,0.372977516,2,b,6.859251337,43%,0.705669569,24%,19%,2
