Date,action shot,person,product,outdoor,social messaging,TEXT,celebrity,engrate
11-Jun,0,1,0,0,0,0,0,0.00 
3-Jun,0,0,0,0,1,1,0,0.01 
30-May,0,0,0,0,1,1,0,0.02 
29-May,0,1,1,0,0,0,0,0.00 
28-May,0,1,1,1,0,0,1,0.01 
27-May,0,1,1,0,0,0,0,0.01 
26-May,0,1,1,0,0,0,0,0.01 
25-May,1,1,1,1,0,0,1,0.01 
24-May,0,0,1,0,0,0,0,0.01 
22-May,0,1,1,1,0,0,0,0.00 
21-May,0,0,1,0,0,0,0,0.01 
20-May,1,1,1,1,0,0,0,0.01 
19-May,1,1,1,1,0,0,0,0.01 
18-May,1,1,1,0,0,0,0,0.01 
17-May,0,0,1,0,0,0,0,0.01 
15-May,1,1,1,1,0,0,1,0.02 
14-May,0,1,1,1,0,0,0,0.01 
13-May,0,1,1,0,0,0,0,0.01 
12-May,1,1,1,1,0,0,0,0.01 
11-May,0,1,1,0,0,0,0,0.00 
9-May,0,0,0,0,1,1,0,0.01 
8-May,0,1,1,0,0,0,0,0.01 
6-May,1,1,1,0,0,0,0,0.00 
5-May,1,1,1,0,0,0,0,0.01 
4-May,0,0,1,0,0,0,0,0.01 
2-May,0,1,1,1,0,0,1,0.03 
1-May,0,1,1,1,0,0,0,0.01 
30-Apr,0,1,1,0,0,0,0,0.01 
29-Apr,0,1,1,0,0,0,0,0.01 
28-Apr,0,1,1,0,0,0,0,0.01 
27-Apr,1,1,1,0,0,0,1,0.01 
25-Apr,0,0,0,0,1,1,0,0.00 
24-Apr,0,1,1,0,0,0,0,0.01 
22-Apr,0,0,0,0,1,1,0,0.00 
21-Apr,0,0,0,0,0,1,0,0.01 
20-Apr,0,1,1,0,0,0,0,0.00 
17-Apr,0,1,1,0,0,0,0,0.01 
16-Apr,1,0,1,1,0,0,0,0.01 
14-Apr,0,0,1,0,0,0,0,0.03 
13-Apr,0,1,1,1,0,0,0,0.01 
8-Apr,0,0,1,0,0,0,0,0.01 
7-Apr,0,1,1,0,0,0,1,0.00 
6-Apr,0,1,1,0,0,0,0,0.01 
4-Apr,0,1,0,1,1,1,0,0.01 
3-Apr,0,0,1,0,0,0,0,0.02 
2-Apr,0,1,1,0,0,0,0,0.01 
1-Apr,0,0,0,0,1,1,0,0.02 
31-Mar,0,0,1,0,0,0,0,0.01 
30-Mar,0,1,1,0,0,0,0,0.01 
27-Mar,0,1,1,0,0,0,0,0.01 
25-Mar,0,1,1,0,0,0,0,0.01 
24-Mar,0,1,1,0,0,0,0,0.01 
23-Mar,0,1,1,0,0,0,0,0.00 
22-Mar,1,1,1,0,0,0,0,0.01 
22-Mar,1,1,0,0,0,0,0,0.00 
21-Mar,1,1,0,0,0,0,0,0.00 
20-Mar,1,1,1,0,0,0,0,0.01 
17-Mar,1,1,0,0,0,0,0,0.01 
16-Mar,1,1,0,0,0,0,0,0.02 
15-Mar,0,0,0,0,1,1,0,0.02 
14-Mar,0,0,0,0,1,1,0,0.02 
13-Mar,0,1,1,0,0,0,0,0.02 
12-Mar,0,1,1,0,0,0,0,0.01 
11-Mar,0,0,1,0,0,0,0,0.01 
10-Mar,0,1,1,0,0,0,0,0.00 
9-Mar,1,1,1,0,0,0,1,0.02 
8-Mar,1,0,0,0,1,1,0,0.01 
7-Mar,1,1,0,0,1,1,0,0.01 
6-Mar,0,1,1,0,0,0,0,0.01 
5-Mar,0,1,1,0,0,0,0,0.01 
2-Mar,0,0,1,0,0,0,0,0.01 
29-Feb,1,1,1,0,0,0,1,0.02 
27-Feb,1,1,1,1,0,0,0,0.01 
26-Feb,0,1,1,0,0,0,0,0.01 
23-Feb,1,1,1,1,0,0,0,0.01 
22-Feb,1,1,1,1,0,0,0,0.00 
21-Feb,1,1,1,1,0,0,0,0.01 
20-Feb,1,1,1,1,0,0,0,0.01 
18-Feb,0,1,1,1,0,0,0,0.00 
17-Feb,0,1,1,0,0,0,0,0.01 
16-Feb,1,1,1,1,0,0,0,0.00 
15-Feb,0,1,1,0,0,0,0,0.01 
14-Feb,1,1,1,0,0,0,0,0.01 
13-Feb,1,1,1,1,0,0,0,0.00 
11-Feb,1,1,1,1,0,0,0,0.01 
10-Feb,0,1,1,0,0,0,0,0.00 
9-Feb,1,1,1,1,0,0,0,0.01 
8-Feb,1,1,1,1,0,0,0,0.00 
7-Feb,0,1,1,0,0,0,1,0.00 
5-Feb,1,1,1,0,0,0,0,0.01 
3-Feb,0,1,1,0,0,0,0,0.00 
2-Feb,0,1,1,0,0,0,0,0.01 
1-Feb,1,1,0,0,0,0,1,0.01 
28-Nov,1,0,0,1,0,0,0,0.01 
11/27/2019,0,0,0,0,1,1,0,0.02 
11/26/2019,0,1,1,0,0,0,0,0.00 
11/25/2019,0,0,1,0,0,0,0,0.01 
11/24/2019,0,0,1,0,0,0,0,0.01 
11/23/2019,0,1,1,0,0,0,0,0.01 
11/22/2019,0,0,1,0,0,0,0,0.02 
11/21/2019,1,1,0,1,0,0,0,0.01 
11/20/2019,0,1,1,0,0,0,0,0.00 
11/19/2019,0,1,1,0,0,0,0,0.02 
11/18/2019,0,0,0,0,0,1,0,0.00 
11/16/2019,0,1,1,1,0,0,0,0.01 
11/15/2019,0,0,1,0,0,0,0,0.01 
11/14/2019,0,0,0,1,0,0,0,0.01 
11/13/2019,0,1,1,1,0,0,0,0.00 
11/12/2019,0,1,1,1,0,0,0,0.01 
11/11/2019,0,1,1,0,0,0,0,0.01 
11/10/2019,0,1,1,0,0,0,0,0.01 
11/9/2019,0,0,1,0,0,0,0,0.02 
11/7/2019,0,1,1,0,0,0,0,0.00 
11/6/2019,0,1,1,1,0,0,0,0.01 
11/5/2019,0,0,0,0,1,1,0,0.06 
11/4/2019,0,1,1,0,0,0,0,0.01 
11/3/2019,0,0,1,0,0,0,0,0.01 
11/2/2019,0,0,1,0,0,0,0,0.03 
11/1/2019,0,0,0,0,0,1,0,0.00 
10/30/2019,0,1,1,0,0,0,0,0.00 
10/29/2019,0,0,1,0,0,0,0,0.02 
10/28/2019,0,1,1,1,0,0,0,0.01 
10/27/2019,0,1,1,1,0,0,0,0.01 
10/26/2019,0,1,1,1,0,0,0,0.01 
10/25/2019,0,1,1,1,0,0,0,0.01 
10/24/2019,0,1,1,0,1,1,0,0.01 
10/23/2019,0,1,1,1,0,0,0,0.01 
10/22/2019,0,1,1,0,0,0,0,0.01 
10/21/2019,0,1,1,0,0,0,0,0.01 
10/20/2019,0,1,1,1,0,0,0,0.01 
10/19/2019,0,1,1,1,0,0,0,0.01 
10/18/2019,0,1,1,1,0,0,0,0.01 
10/17/2019,0,1,1,1,0,0,0,0.01 
10/16/2019,0,1,1,1,0,0,0,0.00 
10/15/2019,0,1,1,1,0,0,0,0.00 
10/14/2019,0,1,1,0,0,0,0,0.01 
10/13/2019,0,1,1,1,0,0,0,0.00 
10/12/2019,0,0,1,0,0,0,0,0.03 
10/10/2019,0,1,1,1,0,0,0,0.00 
10/8/2019,0,1,1,0,0,0,0,0.02 
10/7/2019,0,1,1,1,0,0,0,0.02 
10/6/2019,0,1,1,0,0,0,0,0.01 
10/4/2019,0,1,1,1,0,0,0,0.01 
10/2/2019,0,1,1,1,0,0,0,0.00 
10/1/2019,0,1,1,1,0,0,1,0.04 
9/30/2019,0,0,0,1,0,0,0,0.01 
9/29/2019,1,1,1,0,0,0,1,0.01 
9/27/2019,0,1,1,1,0,0,0,0.01 
9/26/2019,0,1,1,0,0,0,0,0.01 
9/25/2019,0,1,1,0,0,0,0,0.01 
9/24/2019,0,1,1,0,0,0,0,0.01 
9/23/2019,0,1,1,0,0,0,0,0.01 
9/22/2019,0,1,1,0,0,0,0,0.01 
9/21/2019,0,1,1,0,0,0,0,0.00 
9/19/2019,0,1,1,1,0,0,0,0.00 
9/18/2019,0,1,1,0,0,0,0,0.01 
9/17/2019,0,1,1,0,0,0,0,0.01 
9/16/2019,0,1,1,0,0,0,0,0.02 
9/15/2019,0,0,1,0,0,0,0,0.02 
9/14/2019,0,1,1,0,0,0,1,0.02 
9/13/2019,0,0,0,0,0,0,0,0.01 
9/12/2019,0,0,0,1,0,0,0,0.02 
9/9/2019,0,0,0,0,0,1,0,0.00 
9/9/2019,0,1,1,0,0,1,0,0.00 
9/9/2019,0,0,0,0,0,1,0,0.00 
9/7/2019,0,1,1,0,0,0,0,0.01 
9/5/2019,0,1,1,0,0,0,0,0.01 
9/4/2019,0,1,1,0,0,0,0,0.01 
9/3/2019,0,1,1,0,0,0,0,0.01 
12/31/2018,1,1,1,0,0,0,1,0.00 
12/30/2018,0,1,1,0,0,0,0,0.01 
12/29/2018,0,0,0,1,0,0,0,0.02 
12/28/2018,0,0,1,0,0,0,0,0.02 
12/27/2018,1,1,1,1,0,0,0,0.01 
12/26/2018,0,0,1,0,0,0,0,0.02 
12/25/2018,0,0,0,1,0,0,0,0.01 
12/24/2018,0,1,1,0,0,0,0,0.01 
12/23/2018,0,1,1,1,0,0,0,0.01 
12/22/2018,0,0,1,0,0,0,0,0.01 
12/22/2018,0,1,1,0,0,0,1,0.03 
12/21/2018,0,0,1,0,0,0,0,0.03 
12/20/2018,1,1,1,1,0,0,0,0.01 
12/19/2018,0,1,1,0,0,0,0,0.01 
12/18/2018,0,0,1,0,0,0,0,0.02 
12/17/2018,0,0,0,1,0,0,0,0.01 
12/16/2018,0,0,1,0,0,0,0,0.05 
12/14/2018,0,1,1,1,0,0,0,0.01 
12/13/2018,0,1,1,1,0,0,0,0.01 
12/12/2018,0,0,0,1,0,0,1,0.04 
12/11/2018,0,1,1,0,0,0,0,0.02 
12/10/2018,0,0,1,0,0,0,0,0.03 
12/9/2018,0,0,1,0,0,0,0,0.01 
12/8/2018,0,0,1,0,0,0,0,0.06 
12/7/2018,0,1,1,0,0,0,0,0.01 
12/6/2018,1,0,0,1,0,0,0,0.01 
12/4/2018,0,0,1,0,0,0,0,0.01 
12/3/2018,0,1,1,1,0,0,0,0.01 
12/2/2018,0,0,0,1,0,0,1,0.03 
12/1/2018,0,0,1,0,0,0,0,0.00 
11/30/2018,0,1,1,1,0,0,0,0.00 
11/29/2018,0,1,1,1,0,0,0,0.02 
11/28/2018,0,0,0,1,0,0,0,0.01 
11/27/2018,0,1,1,0,0,0,0,0.02 
11/26/2018,0,0,0,1,0,0,0,0.02 
11/25/2018,0,0,0,0,1,1,0,0.03 
11/24/2018,1,1,0,1,0,0,0,0.01 
11/22/2018,0,0,0,1,0,0,0,0.01 
11/21/2018,0,1,1,1,0,0,0,0.01 
11/20/2018,0,0,1,0,0,0,0,0.01 
11/19/2018,0,0,1,0,0,0,0,0.01 
11/18/2018,0,0,0,0,0,0,0,0.01 
11/17/2018,0,1,1,1,0,0,0,0.01 
11/16/2018,0,1,1,0,0,0,0,0.01 
11/15/2018,0,1,1,0,0,0,1,0.03 
11/14/2018,1,1,1,1,0,0,0,0.01 
11/13/2018,0,0,0,1,0,0,0,0.02 
11/12/2018,0,1,1,0,0,0,0,0.01 
11/11/2018,0,1,1,0,0,0,0,0.01 
11/10/2018,1,1,1,1,0,0,0,0.01 
11/9/2018,0,0,0,0,0,0,1,0.03 
11/8/2018,0,1,1,0,0,0,0,0.01 
11/7/2018,0,0,1,0,0,0,0,0.01 
11/6/2018,0,0,0,0,1,1,0,0.05 
11/5/2018,0,1,1,1,0,0,0,0.01 
11/4/2018,1,1,1,1,0,0,0,0.02 
11/3/2018,0,1,1,1,0,0,1,0.03 
11/2/2018,0,0,1,0,0,0,0,0.04 
11/1/2018,0,0,1,0,0,0,0,0.01 
10/31/2018,0,0,0,1,0,0,0,0.02 
10/31/2018,0,1,1,0,0,0,0,0.01 
10/30/2018,0,1,1,0,0,0,0,0.01 
10/29/2018,0,0,1,0,0,0,0,0.02 
10/27/2018,0,1,1,0,0,0,1,0.03 
10/26/2018,1,1,1,0,0,0,0,0.02 
10/25/2018,0,0,0,0,1,1,0,0.02 
10/24/2018,1,1,0,0,0,1,1,0.03 
10/23/2018,0,1,1,0,0,0,0,0.01 
10/22/2018,1,1,0,1,1,1,0,0.01 
10/21/2018,0,0,1,0,1,0,0,0.04 
10/21/2018,0,1,1,1,0,0,0,0.02 
10/20/2018,1,1,0,0,0,0,0,0.03 
10/19/2018,0,1,1,0,1,1,0,0.02 
10/18/2018,1,1,1,1,1,1,0,0.04 
10/16/2018,0,0,0,0,1,1,0,0.02 
10/14/2018,0,1,1,1,0,0,0,0.02 
10/13/2018,1,1,1,1,0,0,0,0.01 
10/12/2018,1,1,1,1,0,0,0,0.01 
10/11/2018,0,1,1,0,0,0,0,0.02 
10/10/2018,0,1,1,1,0,0,0,0.01 
10/9/2018,0,0,0,0,0,0,0,0.01 
10/8/2018,0,1,1,0,1,0,0,0.05 
10/7/2018,0,0,1,0,0,0,0,0.03 
10/6/2018,0,0,0,0,0,0,0,0.02 
10/5/2018,1,1,1,1,0,0,0,0.02 
10/4/2018,0,1,1,1,0,0,0,0.02 
10/3/2018,0,1,1,1,0,0,0,0.02 
10/2/2018,0,0,0,1,0,0,1,0.05 
10/1/2018,1,1,1,1,0,0,0,0.02 
