id,water,water--adjust,water/area_norm,uv,UV adjust,area,fertilizer_usage,Fret_use_norm,yield,pesticides,Pest_norm,region,categories, Y over area , Y over area_norm,ADDED Cost Values,ADDED Cost Values_norm,Profit ratio
38,8.23,8.23,0.536685684,94.747,94.747,11.455,2,0.4,90.759,2.934,0.30678714,2,"b,c",7.923090354,0.51,1.243472824,0.46,0.05
717,5.79,5.79,0.374817567,94.689,94.689,6.545,3,0.6,61.66,4.747,0.497268334,3,c,9.420932009,0.63,1.4720859,0.56,0.07
954,6.567,6.567,0.426363275,94.647,94.647,9.84,1,0.2,77.322,4.432,0.464173146,3,b,7.857926829,0.51,1.09053642,0.4,0.11
601,8.991,8.991,0.587169962,94.327,94.327,12.043,4,0.8,123.898,1.094,0.113469216,2,c,10.28796811,0.69,1.500639178,0.57,0.12
453,5.15,5.15,0.332360356,94.309,94.309,12.077,0,0,77.513,5.119,0.536352175,1,c,6.418233005,0.39,0.86871253,0.31,0.09
128,3.284,3.284,0.208571049,94.273,94.273,8.42,1,0.2,33.206,0.901,0.093191847,1,"d,b,c",3.943705463,0.2,0.501762897,0.15,0.05
411,2.118,2.118,0.131219318,94.239,94.239,6.856,2,0.4,41.243,1.174,0.121874343,2,c,6.015606768,0.36,0.653093661,0.21,0.15
599,6.263,6.263,0.406196099,94.207,94.207,7.121,5,1,85.985,2.03,0.211809204,3,d,12.07484904,0.83,1.618005303,0.62,0.21
614,6.379,6.379,0.413891469,94.132,94.132,11.571,5,1,98.673,2.891,0.302269384,6,"c,b",8.527612134,0.56,1.716160853,0.66,-0.11
94,9.499,9.499,0.620870373,94.025,94.025,11.47,1,0.2,89.654,6.606,0.692582475,4,a,7.816390584,0.5,1.513452848,0.58,-0.08
537,6.731,6.731,0.437242935,93.95,93.95,5.869,3,0.6,64.845,3.329,0.348287455,1,d,11.04873062,0.75,1.38553039,0.52,0.23
759,4.921,4.921,0.317168635,93.947,93.947,9.006,1,0.2,21.547,0.34,0.034250893,6,"c,b,a,d",2.3925161,0.08,0.551419528,0.17,-0.09
422,1.658,1.658,0.100703198,93.502,93.502,10.632,2,0.4,59.871,1.016,0.105274217,3,"d,c,b,a",5.631207675,0.33,0.605977415,0.2,0.14
259,7.461,7.461,0.485670691,93.398,93.398,4.676,3,0.6,43.32,3.18,0.332632906,1,"b,c,a",9.264328486,0.61,1.418303597,0.54,0.08
294,9.194,9.194,0.600636858,93.316,93.316,10.684,5,1,117.117,6.794,0.712334524,1,"a,c,b",10.96190565,0.75,2.312971382,0.92,-0.17
865,8.835,8.835,0.576821016,93.292,93.292,7.145,1,0.2,59.83,5.989,0.627757932,2,"d,c,a",8.373687894,0.55,1.404578949,0.53,0.01
175,7.355,7.355,0.478638716,93.268,93.268,11.722,0,0,51.758,0.235,0.023219164,2,b,4.415458113,0.24,0.501857879,0.15,0.09
701,5.571,5.571,0.36028924,93.209,93.209,6.23,4,0.8,48.861,2.406,0.251313301,6,d,7.842857143,0.5,1.411602541,0.54,-0.03
714,11.178,11.178,0.732254213,93.072,93.072,5.33,5,1,62.237,1.869,0.194893885,2,d,11.67673546,0.8,1.927148098,0.75,0.05
225,13.11,13.11,0.860421919,92.968,92.968,6.821,4,0.8,55.365,4.963,0.519962177,6,"d,a",8.116845037,0.53,2.180384095,0.86,-0.33
685,7.133,7.133,0.463911371,92.965,92.965,7.069,4,0.8,54.473,5.503,0.576696785,5,d,7.705898996,0.49,1.840608156,0.72,-0.22
156,1.188,1.188,0.069523683,92.868,92.868,8.315,3,0.6,96.516,4.906,0.513973524,2,"c,a,b",11.6074564,0.8,1.183497207,0.44,0.36
613,7.497,7.497,0.488058909,92.81,92.81,7.683,1,0.2,28.812,0.087,0.007669679,2,"b,d,c,a",3.750097618,0.19,0.695728588,0.23,-0.05
75,8.583,8.583,0.560103489,92.312,92.312,6.53,2,0.4,58.415,6.141,0.643727674,3,a,8.945635528,0.59,1.603831163,0.62,-0.03
23,11.66,11.66,0.7642298,92.302,92.302,13.445,3,0.6,85.12,6.657,0.697940744,5,"c,b,a,d",6.330978059,0.39,2.062170544,0.81,-0.42
764,5.491,5.491,0.354982088,92.006,92.006,3.878,0,0,17.272,0.767,0.079113259,1,"b,c,d",4.453842187,0.24,0.434095347,0.12,0.12
314,5.757,5.757,0.372628367,91.983,91.983,8.169,1,0.2,59.407,5.049,0.528997689,2,c,7.272248745,0.46,1.101626055,0.4,0.06
673,9.82,9.82,0.642165318,91.879,91.879,8.123,1,0.2,40.446,6.621,0.694158437,6,a,4.979194879,0.28,1.536323754,0.59,-0.31
515,9.968,9.968,0.651983548,91.766,91.766,6.449,2,0.4,54.353,5.92,0.62050851,3,"d,a,c",8.428128392,0.55,1.672492058,0.65,-0.1
513,6.33,6.33,0.410640839,91.622,91.622,7.047,1,0.2,44.016,1.358,0.141206136,2,"b,d,a",6.246062154,0.38,0.751846974,0.26,0.12
139,4.21,4.21,0.270001327,91.596,91.596,9.147,1,0.2,61.08,4.602,0.482034041,2,"a,b",6.677599213,0.41,0.952035368,0.34,0.07
186,7.949,7.949,0.518044315,91.506,91.506,7.389,2,0.4,48.315,1.534,0.159697415,3,d,6.538773853,0.4,1.07774173,0.39,0.01
846,11.35,11.35,0.743664588,91.337,91.337,8.797,3,0.6,59.186,9.532,1,1,d,6.727975446,0.42,2.343664588,0.93,-0.51
478,5.717,5.717,0.369974791,91.267,91.267,10.587,2,0.4,83.059,2.957,0.309203614,4,b,7.845376405,0.5,1.079178405,0.4,0.11
379,8.157,8.157,0.531842908,91.237,91.237,6.219,4,0.8,59.741,6.283,0.658646775,1,"b,d,c",9.606206786,0.64,1.990489683,0.78,-0.14
586,,10,0.654106408,91.224,91.224,8.429,2,0.4,67.321,2.933,0.306682076,0,"c,a",7.986831178,0.52,1.360788484,0.51,0
662,6.66,6.66,0.432532838,91.051,91.051,5.165,2,0.4,54.193,4.513,0.472683337,2,"d,b,a,c",10.49235237,0.71,1.305216175,0.49,0.22
669,8.339,8.339,0.543916678,91.04,91.04,6.047,2,0.4,35.957,0.951,0.098445051,1,b,5.946254341,0.36,1.042361729,0.38,-0.02
989,7.85,7.85,0.511476715,90.778,90.778,8.592,3,0.6,45.643,0.187,0.018176087,6,"b,d,c,a",5.312267225,0.31,1.129652802,0.42,-0.11
747,8.132,8.132,0.530184424,90.752,90.752,6.991,0,0,39.963,5.793,0.607165371,0,"d,a,b",5.716349592,0.34,1.137349794,0.42,-0.08
291,11.177,11.177,0.732187873,90.736,90.736,10.521,4,0.8,112.31,1.869,0.194893885,4,d,10.67484079,0.72,1.727081758,0.67,0.06
364,,3,0.189730662,90.728,90.728,9.73,2,0.4,57.755,6.689,0.701302795,1,"b,a,c",5.935765673,0.36,1.291033457,0.48,-0.13
583,7.696,7.696,0.501260448,90.703,90.703,8.903,1,0.2,50.247,1.941,0.2024585,1,"b,c",5.643827923,0.33,0.903718948,0.32,0.01
806,9.524,9.524,0.622528858,90.516,90.516,6.962,4,0.8,68.347,0.878,0.090775373,3,"a,c,b",9.817150244,0.66,1.513304231,0.58,0.08
966,,10,0.654106408,90.497,90.497,10.149,2,0.4,68.426,1.976,0.206135743,2,"c,b",6.742142083,0.42,1.260242151,0.47,-0.05
383,6.547,6.547,0.425036487,90.496,90.496,10.5,3,0.6,90.571,2.604,0.272115991,1,"c,a",8.625809524,0.57,1.297152477,0.49,0.08
221,6.176,6.176,0.400424572,90.336,90.336,7.853,2,0.4,51.639,7.028,0.736919521,2,"b,c",6.575703553,0.41,1.537344093,0.59,-0.18
581,4.923,4.923,0.317301314,90.242,90.242,7.524,4,0.8,68.295,0.164,0.015759613,4,"a,c,b,d",9.076953748,0.6,1.133060927,0.42,0.18
493,3.885,3.885,0.248441024,90.055,90.055,4.325,1,0.2,29.739,3.18,0.332632906,2,"c,b,d,a",6.876069364,0.43,0.78107393,0.27,0.16
901,,2,0.12339127,,90,8.333,0,0,33.778,0.317,0.031834419,2,"d,a",4.053522141,0.21,0.155225689,0,0.21
914,5.653,5.653,0.36572907,,90,5.789,3,0.6,40.083,0.759,0.078272746,2,c,6.923993781,0.43,1.044001816,0.38,0.05
286,8.442,8.442,0.550749635,,90,7.168,5,1,76.485,0.953,0.09865518,2,"a,d",10.6703404,0.72,1.649404815,0.64,0.09
265,1.574,1.574,0.095130689,,90,9.098,1,0.2,43.753,9.286,0.974154234,3,"d,a,c,b",4.809078918,0.27,1.269284923,0.48,-0.21
378,3.123,3.123,0.197890407,,90,8.619,0,0,59.597,5.243,0.549380122,3,"d,b",6.914607263,0.43,0.747270529,0.25,0.18
568,4.652,4.652,0.299323338,,90,6.677,2,0.4,67.548,3.301,0.345345661,3,"d,b,c",10.11651939,0.68,1.044668999,0.38,0.3
687,7.821,7.821,0.509552872,,90,8.202,2,0.4,47.694,6.384,0.669258248,6,"d,a",5.814923189,0.35,1.57881112,0.61,-0.26
864,,9,0.587767016,,90,16.409,2,0.4,83.831,2.543,0.265707081,6,c,5.108842708,0.29,1.253474097,0.47,-0.18
104,7.679,7.679,0.500132679,,90,13.489,5,1,106.421,1.974,0.205925615,6,a,7.88946549,0.51,1.706058293,0.66,-0.15
921,7.634,7.634,0.497147406,89.935,89.935,7.092,0,0,18.405,0.117,0.010821601,2,b,2.595177665,0.1,0.507969007,0.15,-0.06
635,5.155,5.155,0.332692053,89.933,89.933,9.35,0,0,64.134,3.564,0.372977516,2,b,6.859251337,0.43,0.705669569,0.24,0.19
579,3.958,3.958,0.2532838,89.84,89.84,6.59,1,0.2,52.247,3.904,0.408699307,4,c,7.928224583,0.51,0.861983106,0.3,0.21
946,2.474,2.474,0.154836142,89.715,89.715,11.206,0,0,77.394,3.892,0.407438538,4,"d,c,b,a",6.906478672,0.43,0.562274679,0.18,0.26
953,6.549,6.549,0.425169165,89.688,89.688,12.268,0,0,37.299,5.372,0.562933389,6,d,3.040348875,0.13,0.988102555,0.36,-0.22
975,5.776,5.776,0.373888815,89.597,89.597,11.709,1,0.2,58.709,0.173,0.01670519,4,"d,b,a,c",5.01400632,0.29,0.590594005,0.19,0.1
957,8.525,8.525,0.556255805,89.516,89.516,5.836,3,0.6,69.155,4.521,0.47352385,2,"c,d,a,b",11.84972584,0.82,1.629779654,0.63,0.19
57,6.187,6.187,0.401154305,89.391,89.391,10.434,4,0.8,88.671,4.346,0.455137634,6,a,8.498274871,0.56,1.656291939,0.64,-0.08
518,6.11,6.11,0.396046172,89.28,89.28,7.367,1,0.2,37.244,0.321,0.032254675,0,"c,b,d",5.05551785,0.29,0.628300848,0.2,0.08
670,6.64,6.64,0.43120605,89.257,89.257,10.971,2,0.4,52.865,6.253,0.655494852,6,"a,d",4.818612706,0.27,1.486700902,0.57,-0.3
763,8.61,8.61,0.561894653,89.126,89.126,10.131,1,0.2,96.164,4.484,0.469636478,3,c,9.492054091,0.63,1.231531131,0.46,0.17
54,7.75,7.75,0.504842776,89.104,89.104,10.577,2,0.4,60.381,1.619,0.168627863,6,"a,c,d",5.708707573,0.34,1.073470639,0.39,-0.05
43,6.4,6.4,0.415284596,89.034,89.034,11.265,0,0,39.543,5.921,0.620613574,5,"a,b,d",3.510252996,0.17,1.03589817,0.38,-0.21
959,5.792,5.792,0.374950245,88.833,88.833,15.967,0,0,36.875,1.192,0.123765497,5,c,2.309450742,0.08,0.498715742,0.15,-0.07
836,8.936,8.936,0.583521295,88.831,88.831,7.833,1,0.2,65.023,6.567,0.688484976,2,a,8.301161752,0.54,1.472006271,0.56,-0.02
887,8.382,8.382,0.546769272,88.752,88.752,4.473,1,0.2,36.326,5.355,0.5611473,2,"c,b",8.121171473,0.53,1.307916571,0.49,0.03
633,5.177,5.177,0.334151519,88.735,88.735,11.153,2,0.4,79.968,2.675,0.279575541,1,"b,c,d,a",7.170088765,0.45,1.01372706,0.37,0.08
313,5.35,5.35,0.345628234,88.698,88.698,10.869,1,0.2,81.477,3.718,0.389157386,0,"b,a,d",7.496273806,0.48,0.93478562,0.33,0.14
971,8.222,8.222,0.536154969,88.666,88.666,9.351,3,0.6,62.678,1.693,0.176402606,6,"d,c,a",6.702812533,0.42,1.312557574,0.49,-0.08
525,1.836,1.836,0.112511609,88.44,88.44,8.894,3,0.6,94.181,5.287,0.554002942,1,"d,b",10.58927367,0.72,1.266514551,0.47,0.24
281,8.189,8.189,0.533965769,88.427,88.427,9.366,1,0.2,49.111,1.052,0.109056524,0,c,5.243540466,0.3,0.843022293,0.3,0.01
486,11.267,11.267,0.738158418,88.425,88.425,5.995,1,0.2,50.531,2.863,0.29932759,2,"d,b,c,a",8.428857381,0.55,1.237486008,0.46,0.09
483,4.458,4.458,0.286453496,88.309,88.309,8.405,1,0.2,65.169,4.138,0.433284303,3,"a,c",7.753599048,0.5,0.9197378,0.33,0.17
497,1.219,1.219,0.071580204,88.294,88.294,6.957,3,0.6,34.811,1.555,0.161903761,6,"a,b",5.003737243,0.28,0.833483966,0.29,-0.01
201,7.453,7.453,0.485139976,88.125,88.125,13.323,1,0.2,63.587,5.385,0.564299223,6,"d,b,a",4.772723861,0.27,1.249439199,0.47,-0.2
397,5.889,5.889,0.381385167,88.109,88.109,8.554,0,0,25.559,1.121,0.116305947,2,"d,a,c,b",2.98795885,0.13,0.497691113,0.15,-0.02
825,12.82,12.82,0.841183495,88.061,88.061,4.623,5,1,47.218,0.427,0.043391469,2,"b,c",10.21371404,0.69,1.884574964,0.74,-0.05
617,4.49,4.49,0.288576357,87.983,87.983,6.944,3,0.6,57.918,5.777,0.605484345,2,b,8.340725806,0.54,1.494060702,0.57,-0.03
882,11.258,11.258,0.737561364,87.952,87.952,8.702,3,0.6,88.469,2.227,0.232506829,1,"c,b",10.16651345,0.68,1.570068193,0.6,0.08
101,8.85,8.85,0.577816107,87.863,87.863,6.808,4,0.8,86.371,4.187,0.438432444,4,d,12.68669213,0.88,1.816248551,0.71,0.17
81,,7,0.455088231,87.825,87.825,9.867,0,0,13.183,0.494,0.050430763,6,"c,a,b",1.336069727,0,0.505518994,0.15,-0.15
440,5.498,5.498,0.355446464,87.675,87.675,6.54,3,0.6,56.935,2.815,0.294284514,2,"b,a,d",8.705657492,0.57,1.249730978,0.47,0.1
4,2.617,2.617,0.164322675,87.658,87.658,9.706,1,0.2,49.768,2.91,0.304265602,6,c,5.127549969,0.29,0.668588277,0.22,0.07
441,5.651,5.651,0.365596391,87.526,87.526,8.646,1,0.2,54.42,5.452,0.571338516,1,"d,b",6.294240111,0.38,1.136934908,0.42,-0.04
680,9.861,9.861,0.644885233,87.445,87.445,14.104,4,0.8,148.845,6.58,0.689850809,4,d,10.55338911,0.71,2.134736042,0.84,-0.13
698,4.152,4.152,0.266153642,87.314,87.314,10.277,1,0.2,49.595,7.019,0.735973944,2,a,4.825824657,0.27,1.202127586,0.45,-0.18
232,5.868,5.868,0.379992039,87.286,87.286,5.861,3,0.6,45.247,1.57,0.163479723,2,"d,a,b",7.72001365,0.5,1.143471762,0.42,0.07
692,1.216,1.216,0.071381186,87.235,87.235,3.037,4,0.8,38.759,3.759,0.393465014,2,"d,b,a,c",12.76226539,0.89,1.2648462,0.47,0.41
848,5.552,5.552,0.359028791,87.215,87.215,6.102,0,0,32.032,2.729,0.285249002,2,c,5.249426418,0.3,0.644277793,0.21,0.09
55,7.613,7.613,0.495754279,87.068,87.068,8.498,4,0.8,74.705,8.212,0.861315402,4,"c,b",8.790891975,0.58,2.157069681,0.85,-0.27
61,6.59,6.59,0.427889081,87.019,87.019,8.775,1,0.2,34.607,6.48,0.6793444,6,a,3.943817664,0.2,1.307233481,0.49,-0.29
849,13.22,13.22,0.867719252,86.966,86.966,5.852,5,1,76.547,4.86,0.509140576,2,"c,b,a",13.0804853,0.91,2.376859827,0.94,-0.03
147,5.66,5.66,0.366193446,86.872,86.872,5.344,1,0.2,43.684,3.65,0.382013028,3,b,8.174401198,0.53,0.948206474,0.34,0.19
923,12.365,12.365,0.810999071,86.836,86.836,8.337,2,0.4,50.201,8.538,0.895566295,1,d,6.021470553,0.36,2.106565367,0.83,-0.47
858,9.683,9.683,0.633076821,86.771,86.771,8.693,3,0.6,68.296,3.887,0.406913217,6,"d,c",7.856436213,0.51,1.639990038,0.63,-0.13
754,5.444,5.444,0.351864137,86.768,86.768,10.805,2,0.4,61.33,7.006,0.734608111,0,c,5.676075891,0.34,1.486472248,0.57,-0.23
886,13.529,13.529,0.888218124,86.763,86.763,3.507,1,0.2,35.012,3.844,0.402395461,2,"a,c",9.983461648,0.67,1.490613585,0.57,0.1
245,6.571,6.571,0.426628632,86.759,86.759,14.129,1,0.2,84.101,3.02,0.315822652,4,"b,c,d,a",5.952367471,0.36,0.942451284,0.34,0.02
573,4.418,4.418,0.28379992,86.677,86.677,7.951,2,0.4,40.141,0.368,0.037192688,2,"b,c",5.048547353,0.29,0.720992608,0.24,0.04
875,3.182,3.182,0.201804431,86.487,86.487,9.488,1,0.2,51.806,3.669,0.384009246,6,"b,a,c,d",5.460160202,0.32,0.785813677,0.27,0.05
260,8.154,8.154,0.53164389,86.381,86.381,7.764,0,0,40.454,4.88,0.511241858,1,"b,d,c",5.210458527,0.3,1.042885748,0.38,-0.08
229,7.85,7.85,0.511476715,86.275,86.275,9.208,0,0,52.057,4.279,0.44809834,2,"b,c,a",5.653453519,0.33,0.959575055,0.34,-0.01
448,5.314,5.314,0.343240016,86.261,86.261,6.561,1,0.2,31.992,3.45,0.36100021,6,"c,b",4.876085963,0.27,0.904240226,0.32,-0.05
938,1.531,1.531,0.092278095,86.133,86.133,6.276,1,0.2,45.651,3.269,0.34198361,2,"b,c",7.273900574,0.46,0.634261705,0.21,0.25
234,5.1,5.1,0.329043386,86.127,86.127,7.698,0,0,48.511,6.974,0.73124606,2,"c,a,b",6.301766693,0.39,1.060289446,0.39,0
32,6.534,6.534,0.424174075,85.997,85.997,8.271,5,1,69.548,4.994,0.523219164,6,"d,a,c",8.408656753,0.55,1.947393238,0.76,-0.21
434,13.832,13.832,0.90831896,85.961,85.961,11.295,4,0.8,140.702,3.091,0.323282202,4,"a,d,c,b",12.45701638,0.86,2.031601162,0.8,0.06
415,5.464,5.464,0.353190925,85.867,85.867,5.479,2,0.4,45.01,3.641,0.381067451,1,"c,b,a",8.215002738,0.53,1.134258376,0.42,0.11
556,7.81,7.81,0.508823139,85.841,85.841,11.606,0,0,54.161,3.691,0.386320656,6,b,4.666637946,0.26,0.895143795,0.32,-0.06
210,5.344,5.344,0.345230198,85.826,85.826,13.743,1,0.2,69.38,1.315,0.13668838,3,c,5.04838827,0.29,0.681918578,0.23,0.06
695,9.22,9.22,0.602361682,85.737,85.737,7.734,3,0.6,84.246,2.762,0.288716117,2,"b,c",10.89294026,0.74,1.491077799,0.57,0.17
126,7.718,7.718,0.502719915,85.706,85.706,10.41,2,0.4,72.733,3.403,0.356062198,6,"c,b,a",6.986839577,0.44,1.258782113,0.47,-0.03
200,1.564,1.564,0.094467295,85.594,85.594,10.893,0,0,48.827,4.899,0.513238075,6,"c,b,d,a",4.482419903,0.24,0.60770537,0.2,0.05
781,3.148,3.148,0.199548892,85.464,85.464,10.939,1,0.2,41.022,1.263,0.131225047,5,"a,b,c",3.750068562,0.19,0.530773939,0.16,0.02
33,8.113,8.113,0.528923975,85.449,85.449,4.057,3,0.6,36.945,1.679,0.174931708,0,"d,a",9.106482623,0.6,1.303855683,0.49,0.11
494,5.287,5.287,0.341448852,85.363,85.363,8.302,3,0.6,75.17,4.81,0.503887371,1,c,9.054444712,0.6,1.445336224,0.55,0.05
263,6.714,6.714,0.436115165,85.356,85.356,9.628,0,0,44.4,3.097,0.323912587,2,"a,d",4.611549647,0.25,0.760027752,0.26,-0.01
100,7.817,7.817,0.509287515,85.297,85.297,10.331,0,0,23.495,7.551,0.79186804,6,"d,b,c,a",2.274223212,0.07,1.301155554,0.49,-0.42
757,5.884,5.884,0.38105347,85.235,85.235,8.62,3,0.6,85.421,3.557,0.372242068,0,"b,c",9.90962877,0.66,1.353295537,0.51,0.15
269,4.67,4.67,0.300517447,85.214,85.214,10.82,2,0.4,59.254,2.849,0.297856693,6,"b,d",5.476340111,0.32,0.99837414,0.36,-0.04
828,7.455,7.455,0.485272655,85.167,85.167,5.555,3,0.6,46.624,2.55,0.26644253,0,"b,c,d,a",8.393159316,0.55,1.351715185,0.51,0.04
177,4.51,4.51,0.289903144,85.12,85.12,6.283,0,0,35.52,1.57,0.163479723,2,"b,c,d",5.65335031,0.33,0.453382867,0.13,0.2
218,2.47,2.47,0.154570784,85.029,85.029,9.148,1,0.2,36.176,2.274,0.237444841,6,"b,d,a",3.954525579,0.2,0.592015625,0.19,0.01
728,8.824,8.824,0.576091283,84.948,84.948,8.932,2,0.4,71.477,4.392,0.459970582,3,b,8.002351097,0.52,1.436061865,0.55,-0.03
367,2.131,2.131,0.13208173,84.936,84.936,10.403,0,0,29.671,0.328,0.032990124,2,b,2.852158031,0.12,0.165071854,0.01,0.11
621,2.45,2.45,0.153243996,84.93,84.93,12.988,0,0,31.049,6.036,0.632695945,4,a,2.390591315,0.08,0.785939941,0.27,-0.19
818,5.264,5.264,0.339923046,84.914,84.914,8.351,1,0.2,49.153,2.213,0.231035932,2,"c,a,b,d",5.88588193,0.35,0.770958978,0.26,0.09
341,5.215,5.215,0.336672416,84.746,84.746,9.799,1,0.2,65.846,3.309,0.346186174,3,"b,c,a,d",6.719665272,0.42,0.88285859,0.31,0.11
702,0.837,0.837,0.046238556,84.711,84.711,5.615,3,0.6,46.146,5.411,0.567030889,2,b,8.218343722,0.53,1.213269445,0.45,0.08
84,5.385,5.385,0.347950113,84.677,84.677,8.683,4,0.8,68.505,3.262,0.341248161,6,"b,c,a",7.889554302,0.51,1.489198274,0.57,-0.06
991,7.83,7.83,0.510149927,84.647,84.647,2.155,4,0.8,27.507,4.163,0.435910906,2,"a,c,b",12.76426914,0.89,1.746060833,0.68,0.21
783,7.235,7.235,0.470677989,84.569,84.569,6.325,3,0.6,32.748,8.992,0.943265392,1,"c,b,d",5.177549407,0.3,2.01394338,0.79,-0.49
252,4.151,4.151,0.266087303,84.557,84.557,6.275,2,0.4,38.016,3.82,0.399873923,6,"c,b",6.058326693,0.37,1.065961226,0.39,-0.02
570,7.162,7.162,0.465835213,84.523,84.523,5.114,2,0.4,39.16,0.678,0.069762555,2,"b,c,a",7.657411029,0.49,0.935597768,0.33,0.16
699,,2,0.12339127,84.523,84.523,7.622,1,0.2,63.585,3.969,0.415528472,3,"b,d",8.342298609,0.54,0.738919742,0.25,0.29
591,9.644,9.644,0.630489585,84.473,84.473,5.743,4,0.8,47.633,3.293,0.344505148,6,b,8.294097162,0.54,1.774994733,0.69,-0.15
289,3.331,3.331,0.211689001,84.419,84.419,11.892,1,0.2,75.72,5.264,0.551586468,4,b,6.367305752,0.39,0.963275469,0.35,0.04
933,6.73,6.73,0.437176595,84.339,84.339,9.504,0,0,44.235,5.221,0.547068712,2,d,4.654356061,0.26,0.984245307,0.35,-0.1
544,4.145,4.145,0.265689266,84.218,84.218,5.272,4,0.8,50.052,1.756,0.183021643,2,"c,b,d",9.493930197,0.63,1.248710909,0.47,0.17
135,1.741,1.741,0.106209367,84.067,84.067,15.39,2,0.4,75.536,2.79,0.291657911,6,"c,a,d",4.908122157,0.28,0.797867278,0.28,0
592,1.834,1.834,0.112378931,84.036,84.036,8.667,1,0.2,33.741,0.387,0.039188905,2,"b,d,c",3.893042575,0.2,0.351567836,0.09,0.11
68,4.263,4.263,0.273517315,83.991,83.991,5.781,1,0.2,22.527,2.027,0.211494011,6,"b,d,a",3.896730669,0.2,0.685011326,0.23,-0.03
107,3.516,3.516,0.223961789,83.826,83.826,8.897,4,0.8,90.445,2.311,0.241332213,2,"b,a,c",10.16578622,0.68,1.265294001,0.47,0.21
96,12.114,12.114,0.794347884,83.764,83.764,7.389,5,1,74.554,0.343,0.034566085,1,"d,b,c,a",10.08986331,0.68,1.828913969,0.71,-0.03
24,8.759,8.759,0.571779223,83.758,83.758,11.988,3,0.6,98.518,2.442,0.255095608,4,c,8.218051385,0.53,1.426874831,0.54,-0.01
227,5.111,5.111,0.329773119,83.749,83.749,8.572,0,0,54.893,4.916,0.515024165,2,c,6.403756416,0.39,0.844797284,0.3,0.1
967,9.665,9.665,0.631882712,83.702,83.702,5.512,3,0.6,42.745,8.398,0.880857323,2,"a,c,b,d",7.754898403,0.5,2.112740035,0.83,-0.33
672,4.488,4.488,0.288443678,83.678,83.678,8.211,1,0.2,47.713,2.302,0.240386636,1,"d,b",5.810863476,0.35,0.728830314,0.25,0.1
445,6.852,6.852,0.445270001,83.665,83.665,7.373,1,0.2,54.876,7.09,0.743433494,2,"d,b,a",7.442831954,0.47,1.388703496,0.53,-0.05
